frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
425,76.333,0.368,0.884,99.35,424.33,63,9,53,9,30,33
426,76.4,0.368,0.884,99.35,424.33,56,9,47,9,24,32
427,76.467,0.368,0.884,99.35,424.33,55,8,46,8,23,32
428,76.533,0.368,0.884,99.35,424.33,58,12,45,12,25,33
429,76.6,0.368,0.884,99.35,424.33,52,7,44,7,19,33
430,76.667,0.368,0.884,99.35,424.33,56,8,46,8,23,33
431,76.733,0.368,0.884,99.35,424.33,57,10,46,10,25,32
432,76.8,0.368,0.884,99.35,424.33,51,9,42,9,18,33
433,76.867,0.368,0.884,99.35,424.33,56,9,47,9,20,36
434,76.933,0.368,0.884,99.35,424.33,61,9,52,9,24,37
435,77,0.3809,0.8847,102.84,424.64,67,10,56,10,30,37
436,77.067,0.3982,0.8834,107.51,424.05,70,11,58,11,34,36
437,77.133,0.406,0.8835,109.61,424.09,60,8,52,8,24,36
438,77.2,0.406,0.8835,109.61,424.09,57,9,48,9,20,37
439,77.267,0.406,0.8835,109.61,424.09,64,7,56,7,27,37
440,77.333,0.406,0.8835,109.61,424.09,63,9,54,9,27,36
441,77.4,0.3982,0.8834,107.51,424.05,68,11,57,11,32,36
442,77.467,0.3834,0.8836,103.53,424.13,62,11,51,11,28,34
443,77.533,0.3837,0.8835,103.61,424.09,58,12,46,12,24,34
444,77.6,0.3837,0.8835,103.61,424.09,56,11,45,11,23,33
445,77.667,0.3837,0.8835,103.61,424.09,54,7,47,7,18,36
446,77.733,0.4031,0.8845,108.85,424.58,53,8,44,8,19,34
447,77.8,0.4204,0.8836,113.5,424.14,57,10,45,10,23,34
448,77.867,0.4375,0.8841,118.12,424.36,51,10,41,10,20,31
449,77.933,0.457,0.8835,123.39,424.09,56,9,47,9,22,34
450,78,0.4727,0.8837,127.62,424.16,60,9,50,9,29,31
451,78.067,0.4924,0.8845,132.94,424.56,60,11,48,11,29,31
452,78.133,0.5093,0.8836,137.5,424.14,59,10,48,10,26,33
453,78.2,0.5262,0.884,142.07,424.33,54,8,46,8,22,32
454,78.267,0.5459,0.8837,147.38,424.16,58,10,47,10,25,33
455,78.333,0.5617,0.8838,151.65,424.24,69,9,59,9,33,36
456,78.4,0.5839,0.884,157.65,424.33,59,6,52,6,24,35
457,78.467,0.6036,0.8843,162.98,424.47,61,12,49,12,25,36
458,78.533,0.6208,0.8838,167.61,424.2,59,9,48,9,24,35
459,78.6,0.6378,0.8844,172.19,424.49,62,14,48,14,27,35
460,78.667,0.6571,0.8836,177.43,424.13,67,16,50,16,30,37
461,78.733,0.6741,0.8843,182.02,424.47,62,13,48,13,26,36
462,78.8,0.6939,0.884,187.35,424.33,61,13,47,13,26,35
463,78.867,0.7097,0.8837,191.62,424.16,54,10,42,10,19,35
464,78.933,0.7289,0.8848,196.8,424.7,59,12,47,12,23,36
465,79,0.7463,0.8836,201.5,424.14,60,12,48,12,23,37
466,79.067,0.7631,0.8842,206.05,424.42,59,10,48,10,24,35
467,79.133,0.7734,0.884,208.81,424.31,64,11,53,11,29,35
468,79.2,0.7365,0.5908,198.86,283.59,72,13,59,13,37,35
469,79.267,0.7506,0.6098,202.66,292.71,67,10,57,10,31,36
470,79.333,0.7623,0.624,205.81,299.53,63,13,49,13,29,34
471,79.4,0.7728,0.6408,208.65,307.58,67,12,55,12,32,35
472,79.467,0.7837,0.6545,211.59,314.14,64,12,52,12,28,36
473,79.533,0.79,0.6486,213.31,311.32,56,10,46,9,23,33
474,79.6,0.7986,0.8837,215.62,424.16,56,10,46,10,23,33
475,79.667,0.8076,0.8845,218.06,424.56,61,12,49,12,25,36
476,79.733,0.8076,0.8845,218.06,424.56,67,19,48,19,34,33
477,79.8,0.7961,0.6756,214.94,324.27,53,9,43,9,21,32
478,79.867,0.8352,0.8836,225.5,424.14,58,11,47,11,25,33
479,79.933,0.8523,0.883,230.12,423.85,64,14,50,14,31,33
480,80,0.8718,0.8837,235.38,424.16,63,19,43,19,31,32
481,80.067,0.8876,0.8838,239.65,424.24,65,17,47,17,33,32
482,80.133,0.8876,0.8838,239.65,424.24,64,13,49,13,31,33
483,80.2,0.8876,0.8838,239.65,424.24,75,22,53,22,38,37
484,80.267,0.8743,0.884,236.07,424.33,70,17,53,17,36,34
485,80.333,0.8574,0.8836,231.5,424.14,63,16,47,16,31,32
486,80.4,0.8404,0.8843,226.92,424.48,72,19,53,19,39,33
487,80.467,0.8208,0.8837,221.62,424.16,67,15,52,15,33,34
488,80.533,0.8051,0.8837,217.38,424.16,64,11,53,11,31,33
489,80.6,0.7856,0.8841,212.12,424.36,61,15,44,15,28,33
490,80.667,0.7764,0.8837,209.62,424.16,62,11,51,11,27,35
491,80.733,0.7764,0.8837,209.62,424.16,65,20,45,20,32,33
