frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
0,48,0.1748,0.6757,47.2,324.33,85,54,31,53,12,73
1,48.067,0.1748,0.6757,47.2,324.33,90,56,34,55,17,73
2,48.133,0.1748,0.6757,47.2,324.33,89,53,36,52,16,73
3,48.2,0.1748,0.6757,47.2,324.33,82,47,34,46,16,66
4,48.267,0.1748,0.6757,47.2,324.33,84,48,35,47,18,66
5,48.333,0.1748,0.6757,47.2,324.33,81,47,33,46,16,65
6,48.4,0.1748,0.6757,47.2,324.33,78,46,31,45,13,65
7,48.467,0.1748,0.6757,47.2,324.33,79,47,32,46,14,65
8,48.533,0.1748,0.6757,47.2,324.33,76,47,29,46,11,65
9,48.6,0.1748,0.6757,47.2,324.33,82,46,36,45,16,66
10,48.667,0.1748,0.6757,47.2,324.33,85,46,39,45,19,66
11,48.733,0.1748,0.6757,47.2,324.33,84,50,33,49,11,73
12,48.8,0.1748,0.6757,47.2,324.33,88,52,35,51,15,73
13,48.867,0.1748,0.6757,47.2,324.33,87,50,37,49,14,73
14,48.933,0.1748,0.6757,47.2,324.33,88,54,33,53,15,73
15,49,0.1748,0.6757,47.2,324.33,88,54,33,53,15,73
16,49.067,0.1748,0.6757,47.2,324.33,86,55,31,54,14,72
17,49.133,0.5012,0.8869,135.33,425.7,82,51,30,50,16,66
18,49.2,0.5012,0.8869,135.33,425.7,68,38,29,37,18,50
19,49.267,0.4422,0.8882,119.39,426.32,41,19,22,19,9,32
20,49.333,,,,,18,7,11,7,14,4
21,49.4,0.1259,0.7623,34,365.9,40,29,10,29,8,32
22,49.467,0.1259,0.7623,34,365.9,48,39,8,39,11,37
23,49.533,0.1259,0.7623,34,365.9,49,40,9,40,12,37
24,49.6,0.1259,0.7623,34,365.9,46,37,9,37,9,37
25,49.667,0.1259,0.7623,34,365.9,54,41,12,41,17,37
26,49.733,0.1259,0.7623,34,365.9,54,40,12,40,17,37
27,49.8,0.1259,0.7623,34,365.9,46,37,9,37,9,37
28,49.867,0.1259,0.7623,34,365.9,48,41,7,41,11,37
29,49.933,0.1259,0.7623,34,365.9,46,37,9,37,9,37
30,50,0.6244,0.7623,168.58,365.92,52,41,11,41,15,37
31,50.067,0.6244,0.7623,168.58,365.92,48,38,10,38,11,37
32,50.133,0.6244,0.7623,168.58,365.92,50,38,12,38,13,37
33,50.2,0.6244,0.7623,168.58,365.92,52,40,11,40,15,37
34,50.267,0.6244,0.7623,168.58,365.92,55,42,12,42,18,37
35,50.333,0.6244,0.7623,168.58,365.92,48,40,8,40,12,36
36,50.4,0.6244,0.7623,168.58,365.92,56,43,13,43,19,37
37,50.467,0.6244,0.7623,168.58,365.92,47,39,8,39,10,37
38,50.533,0.6244,0.7625,168.59,365.99,49,40,8,40,12,37
39,50.6,0.6244,0.7623,168.58,365.92,45,38,7,38,8,37
40,50.667,0.6244,0.7623,168.58,365.92,53,44,9,44,16,37
41,50.733,0.6244,0.7623,168.58,365.92,49,41,8,41,12,37
42,50.8,0.6244,0.7623,168.58,365.92,49,38,11,38,12,37
43,50.867,0.6244,0.7623,168.58,365.92,47,40,7,40,10,37
44,50.933,0.6244,0.7623,168.58,365.92,53,40,12,40,16,37
45,51,0.6244,0.7623,168.58,365.92,50,38,11,38,13,37
46,51.067,0.6244,0.7623,168.58,365.92,49,40,9,40,12,37
47,51.133,0.6244,0.7623,168.58,365.92,44,37,7,37,7,37
48,51.2,0.6244,0.7623,168.58,365.92,49,41,7,41,12,37
49,51.267,0.6244,0.7623,168.58,365.92,49,42,7,42,12,37
50,51.333,0.6244,0.7623,168.58,365.92,49,40,7,40,13,36
51,51.4,0.6244,0.7623,168.58,365.92,49,41,8,41,12,37
52,51.467,0.6244,0.7623,168.58,365.92,53,43,10,43,16,37
53,51.533,0.6244,0.7623,168.58,365.92,52,42,10,42,15,37
54,51.6,0.6244,0.7623,168.58,365.92,47,38,8,38,10,37
55,51.667,0.6244,0.7623,168.58,365.92,45,39,6,39,8,37
56,51.733,0.6244,0.7623,168.58,365.92,48,41,7,41,11,37
57,51.8,0.6244,0.7623,168.58,365.92,46,38,7,38,9,37
58,51.867,0.6244,0.7623,168.58,365.92,50,42,8,42,13,37
59,51.933,0.6244,0.7623,168.58,365.92,47,39,8,39,10,37
60,52,0.6244,0.7623,168.58,365.92,58,44,14,44,21,37
61,52.067,0.6244,0.7623,168.58,365.92,55,43,12,43,18,37
62,52.133,0.6244,0.7623,168.58,365.92,50,42,8,42,13,37
63,52.2,0.1258,0.7623,33.98,365.89,50,39,11,39,13,37
64,52.267,0.1258,0.7622,33.95,365.86,45,38,7,38,8,37
65,52.333,0.6244,0.7623,168.58,365.92,51,41,9,41,14,37
66,52.4,0.6244,0.7623,168.58,365.92,52,39,12,39,15,37
67,52.467,0.6244,0.7623,168.58,365.92,54,41,13,41,17,37
68,52.533,0.6244,0.7623,168.58,365.92,58,44,14,44,21,37
69,52.6,0.6244,0.7623,168.58,365.92,46,36,10,36,12,34
70,52.667,0.396,0.7627,106.92,366.12,39,30,9,29,14,25
71,52.733,0.396,0.7626,106.92,366.06,34,25,8,24,14,20
72,52.8,0.1258,0.7621,33.98,365.8,20,17,2,17,7,13
73,52.867,0.1258,0.7621,33.98,365.8,22,16,5,16,15,7
74,52.933,0.1243,0.7622,33.57,365.84,17,10,6,10,15,2
75,53,0.5136,0.8486,138.67,407.33,16,7,8,7,16,0
76,53.067,0.626,0.6377,169.01,306.11,29,17,11,17,18,11
77,53.133,0.626,0.6377,169.01,306.11,43,14,28,14,24,19
78,53.2,0.626,0.6377,169.01,306.11,63,12,51,12,24,39
79,53.267,0.626,0.6377,169.01,306.11,95,15,80,15,39,56
80,53.333,0.626,0.6377,169.01,306.11,92,13,79,13,32,60
