frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
191,15.64,0.4217,0.7599,113.86,364.76,50,9,3,47
192,15.68,0.4404,0.7602,118.89,364.89,54,9,7,47
193,15.72,0.4288,0.7598,115.79,364.71,55,9,8,47
194,15.76,0.4288,0.7598,115.79,364.71,56,10,9,47
195,15.8,0.4288,0.7598,115.79,364.71,58,10,11,47
196,15.84,0.4285,0.76,115.7,364.78,53,10,8,45
197,15.88,0.4285,0.76,115.7,364.78,52,10,7,45
198,15.92,0.4288,0.7598,115.79,364.71,53,10,8,45
199,15.96,0.4288,0.7598,115.79,364.71,56,10,10,46
200,16,0.4288,0.7598,115.79,364.71,55,10,9,46
201,16.04,0.4288,0.7598,115.79,364.71,57,10,10,47
202,16.08,0.4288,0.7598,115.79,364.71,52,10,7,45
203,16.12,0.4288,0.7598,115.79,364.71,54,10,9,45
204,16.16,0.4288,0.7598,115.79,364.71,55,10,8,47
205,16.2,0.4288,0.7598,115.79,364.71,55,9,8,47
206,16.24,0.4288,0.7598,115.79,364.71,49,9,5,44
207,16.28,0.4288,0.7598,115.79,364.71,50,9,7,43
208,16.32,0.4478,0.76,120.9,364.8,48,9,5,43
209,16.36,0.4436,0.7599,119.78,364.74,48,9,5,43
210,16.4,0.4718,0.7602,127.39,364.91,50,9,7,43
211,16.44,0.4792,0.7602,129.39,364.91,47,9,5,42
212,16.48,0.4736,0.76,127.86,364.82,52,9,11,41
213,16.52,0.481,0.76,129.86,364.82,49,9,8,41
214,16.56,0.4884,0.76,131.86,364.82,45,9,4,41
215,16.6,0.5171,0.7613,139.62,365.43,48,9,7,41
216,16.64,0.5251,0.7613,141.77,365.41,45,9,6,39
217,16.68,0.5251,0.7613,141.77,365.41,42,10,5,37
218,16.72,0.5251,0.7613,141.77,365.41,44,10,5,39
219,16.76,0.5251,0.7613,141.77,365.41,40,10,3,37
220,16.8,0.5174,0.761,139.7,365.26,43,10,6,37
221,16.84,0.5103,0.7613,137.77,365.41,44,10,6,38
222,16.88,0.481,0.76,129.86,364.82,45,10,6,39
223,16.92,0.4736,0.76,127.86,364.82,48,10,7,41
224,16.96,0.4668,0.76,126.04,364.79,49,10,9,40
225,17,0.4734,0.761,127.81,365.27,47,10,8,39
226,17.04,0.466,0.761,125.81,365.27,49,10,9,40
227,17.08,0.4362,0.76,117.79,364.82,46,10,6,40
228,17.12,0.4288,0.76,115.79,364.82,50,9,8,42
229,17.16,0.4229,0.761,114.19,365.28,53,9,7,46
230,17.2,0.4163,0.7608,112.4,365.19,52,9,7,45
231,17.24,0.4,0.7611,108,365.32,54,9,7,47
232,17.28,0.3925,0.7609,105.97,365.21,55,9,8,47
233,17.32,0.3854,0.7607,104.06,365.15,55,10,8,47
234,17.36,0.3692,0.7615,99.68,365.53,53,10,7,46
235,17.4,0.3724,0.7615,100.55,365.5,55,10,9,46
236,17.44,0.3608,0.7607,97.41,365.14,50,11,4,46
237,17.48,0.3534,0.7607,95.41,365.14,51,12,5,46
238,17.52,0.3466,0.7607,93.59,365.14,52,13,6,46
239,17.56,0.3263,0.76,88.1,364.8,53,13,7,46
240,17.6,0.3189,0.76,86.1,364.8,52,13,6,46
241,17.64,0.3172,0.7607,85.65,365.13,51,13,5,46
242,17.68,0.3094,0.7608,83.54,365.21,53,14,7,46
243,17.72,0.309,0.7612,83.44,365.36,52,13,6,46
244,17.76,0.2815,0.7599,76,364.76,51,13,5,46
245,17.8,0.2741,0.7599,74,364.76,53,14,7,46
246,17.84,0.2812,0.7614,75.91,365.48,55,15,9,46
247,17.88,0.2728,0.7607,73.65,365.15,51,13,5,46
248,17.92,0.2728,0.7607,73.65,365.15,53,15,7,46
249,17.96,0.2728,0.7607,73.65,365.15,54,15,8,46
250,18,0.2728,0.7607,73.65,365.15,50,14,5,45
251,18.04,0.2728,0.7607,73.65,365.15,50,13,5,45
252,18.08,0.2513,0.76,67.86,364.82,50,14,4,46
253,18.12,0.2438,0.7602,65.83,364.88,52,14,7,45
254,18.16,0.2364,0.7602,63.83,364.88,53,15,8,45
255,18.2,0.2437,0.7612,65.79,365.36,55,14,10,45
256,18.24,0.2298,0.7596,62.04,364.61,54,13,9,45
257,18.28,0.2524,0.8054,68.14,386.57,51,15,6,45
258,18.32,0.2524,0.8054,68.14,386.57,50,13,5,45
259,18.36,0.2524,0.8054,68.14,386.57,51,14,6,45
260,18.4,0.2524,0.8054,68.14,386.57,47,13,3,44
261,18.44,0.2524,0.8054,68.14,386.57,48,13,3,45
262,18.48,0.2524,0.8054,68.14,386.57,51,16,6,45
263,18.52,0.2524,0.8054,68.14,386.57,52,16,7,45
264,18.56,0.2524,0.8054,68.14,386.57,52,15,7,45
265,18.6,0.2524,0.8054,68.14,386.57,46,15,4,42
266,18.64,0.2524,0.8054,68.14,386.57,48,16,6,42
267,18.68,0.2524,0.8054,68.14,386.57,53,15,12,41
268,18.72,0.2524,0.8054,68.14,386.57,52,17,10,42
269,18.76,0.2524,0.8054,68.14,386.57,48,13,6,42
270,18.8,0.2524,0.8054,68.14,386.57,51,14,9,42
271,18.84,0.2524,0.8054,68.14,386.57,45,14,5,40
272,18.88,0.4996,0.6819,134.9,327.3,46,13,6,40
273,18.92,0.4968,0.6876,134.14,330.07,48,14,8,40
274,18.96,0.4893,0.6998,132.12,335.92,47,14,7,40
275,19,0.4826,0.7079,130.31,339.81,49,15,9,40
276,19.04,0.4747,0.7177,128.17,344.52,49,16,10,39
277,19.08,0.4671,0.7248,126.12,347.92,49,17,10,39
278,19.12,0.4631,0.7323,125.04,351.5,50,15,10,40
279,19.16,0.4551,0.7441,122.88,357.16,50,17,10,40
280,19.2,0.4517,0.7519,121.96,360.93,50,17,10,40
281,19.24,0.4442,0.7618,119.93,365.64,50,18,10,40
282,19.28,0.4369,0.7696,117.96,369.4,50,18,10,40
283,19.32,0.4326,0.7768,116.8,372.88,51,18,11,40
284,19.36,0.425,0.7887,114.75,378.58,50,17,10,40
285,19.4,0.4214,0.7965,113.78,382.3,51,17,10,41
286,19.44,0.4135,0.8063,111.65,387.04,48,17,9,39
287,19.48,0.2246,0.7598,60.64,364.68,49,17,10,39
288,19.52,0.2281,0.7601,61.6,364.84,49,17,12,37
289,19.56,0.2603,0.7618,70.27,365.65,52,17,11,41
290,19.6,0.2673,0.7619,72.16,365.72,50,16,9,41
291,19.64,0.2577,0.7602,69.58,364.88,51,17,8,43
292,19.68,0.288,0.7613,77.77,365.41,54,16,11,43
293,19.72,0.2955,0.7613,79.77,365.41,56,18,12,44
294,19.76,0.3019,0.7607,81.52,365.12,55,18,11,44
295,19.8,0.2963,0.7599,80,364.76,58,20,14,44
296,19.84,0.3037,0.7599,82,364.76,52,16,8,44
297,19.88,0.3299,0.7617,89.07,365.6,49,14,6,43
298,19.92,0.3316,0.7617,89.53,365.6,54,15,11,43
299,19.96,0.3386,0.7616,91.43,365.57,47,10,5,42
