frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
86,13.733,0.5263,0.76,142.1,364.8,57,10,7,50
87,13.8,0.532,0.7613,143.65,365.43,57,9,8,49
88,13.867,0.4958,0.76,133.86,364.82,59,10,9,50
89,13.933,0.5156,0.7063,139.21,339,59,11,12,47
90,14,0.4871,0.7606,131.52,365.09,56,10,9,47
91,14.067,0.4513,0.76,121.86,364.82,54,11,7,47
92,14.133,0.4353,0.76,117.52,364.8,55,12,8,47
93,14.2,0.4353,0.76,117.52,364.8,56,13,9,47
94,14.267,0.4353,0.76,117.52,364.8,53,10,7,46
95,14.333,0.4353,0.76,117.52,364.8,55,10,9,46
96,14.4,0.4353,0.76,117.52,364.8,54,10,8,46
97,14.467,0.4353,0.76,117.52,364.8,54,10,8,46
98,14.533,0.4353,0.76,117.52,364.8,53,10,7,46
99,14.6,0.4353,0.76,117.52,364.8,53,10,7,46
100,14.667,0.4353,0.76,117.52,364.8,56,10,10,46
101,14.733,0.4353,0.76,117.52,364.8,52,9,6,46
102,14.8,0.4353,0.76,117.52,364.8,52,9,6,46
103,14.867,0.4353,0.76,117.52,364.8,54,9,8,46
104,14.933,0.4288,0.76,115.79,364.82,56,9,10,46
105,15,0.4214,0.76,113.79,364.82,56,9,10,46
106,15.067,0.4217,0.7599,113.86,364.76,55,10,10,45
107,15.133,0.4217,0.7599,113.86,364.76,52,10,7,45
108,15.2,0.4217,0.7599,113.86,364.76,52,10,7,45
109,15.267,0.4217,0.7599,113.86,364.76,53,10,8,45
110,15.333,0.4217,0.7604,113.87,365,54,10,9,45
111,15.4,0.4217,0.7599,113.86,364.76,53,10,8,45
112,15.467,0.4217,0.7599,113.86,364.76,52,10,7,45
113,15.533,0.4217,0.7599,113.86,364.76,52,9,5,47
114,15.6,0.4217,0.7599,113.86,364.76,52,9,5,47
115,15.667,0.4404,0.7602,118.89,364.89,54,9,7,47
116,15.733,0.4288,0.7598,115.79,364.71,56,10,9,47
117,15.8,0.4288,0.7598,115.79,364.71,58,10,11,47
118,15.867,0.4285,0.76,115.7,364.78,52,10,7,45
119,15.933,0.4288,0.7598,115.79,364.71,56,10,10,46
120,16,0.4288,0.7598,115.79,364.71,55,10,9,46
121,16.067,0.4288,0.7598,115.79,364.71,52,10,7,45
122,16.133,0.4288,0.7598,115.79,364.71,55,10,8,47
123,16.2,0.4288,0.7598,115.79,364.71,55,9,8,47
124,16.267,0.4288,0.7598,115.79,364.71,50,9,7,43
125,16.333,0.4436,0.7599,119.78,364.74,48,9,5,43
126,16.4,0.4718,0.7602,127.39,364.91,50,9,7,43
127,16.467,0.4736,0.76,127.86,364.82,52,9,11,41
128,16.533,0.4884,0.76,131.86,364.82,45,9,4,41
129,16.6,0.5171,0.7613,139.62,365.43,48,9,7,41
130,16.667,0.5251,0.7613,141.77,365.41,42,10,5,37
131,16.733,0.5251,0.7613,141.77,365.41,40,10,3,37
132,16.8,0.5174,0.761,139.7,365.26,43,10,6,37
133,16.867,0.481,0.76,129.86,364.82,45,10,6,39
134,16.933,0.4668,0.76,126.04,364.79,49,10,9,40
135,17,0.4734,0.761,127.81,365.27,47,10,8,39
136,17.067,0.4362,0.76,117.79,364.82,46,10,6,40
137,17.133,0.4229,0.761,114.19,365.28,53,9,7,46
138,17.2,0.4163,0.7608,112.4,365.19,52,9,7,45
139,17.267,0.3925,0.7609,105.97,365.21,55,9,8,47
140,17.333,0.3692,0.7615,99.68,365.53,53,10,7,46
141,17.4,0.3724,0.7615,100.55,365.5,55,10,9,46
142,17.467,0.3534,0.7607,95.41,365.14,51,12,5,46
143,17.533,0.3263,0.76,88.1,364.8,53,13,7,46
144,17.6,0.3189,0.76,86.1,364.8,52,13,6,46
145,17.667,0.3094,0.7608,83.54,365.21,53,14,7,46
146,17.733,0.2815,0.7599,76,364.76,51,13,5,46
147,17.8,0.2741,0.7599,74,364.76,53,14,7,46
148,17.867,0.2728,0.7607,73.65,365.15,51,13,5,46
149,17.933,0.2728,0.7607,73.65,365.15,54,15,8,46
150,18,0.2728,0.7607,73.65,365.15,50,14,5,45
151,18.067,0.2513,0.76,67.86,364.82,50,14,4,46
152,18.133,0.2364,0.7602,63.83,364.88,53,15,8,45
153,18.2,0.2437,0.7612,65.79,365.36,55,14,10,45
154,18.267,0.2524,0.8054,68.14,386.57,51,15,6,45
155,18.333,0.2524,0.8054,68.14,386.57,51,14,6,45
156,18.4,0.2524,0.8054,68.14,386.57,47,13,3,44
157,18.467,0.2524,0.8054,68.14,386.57,51,16,6,45
158,18.533,0.2524,0.8054,68.14,386.57,52,15,7,45
159,18.6,0.2524,0.8054,68.14,386.57,46,15,4,42
160,18.667,0.2524,0.8054,68.14,386.57,53,15,12,41
161,18.733,0.2524,0.8054,68.14,386.57,48,13,6,42
162,18.8,0.2524,0.8054,68.14,386.57,51,14,9,42
163,18.867,0.4996,0.6819,134.9,327.3,46,13,6,40
164,18.933,0.4893,0.6998,132.12,335.92,47,14,7,40
165,19,0.4826,0.7079,130.31,339.81,49,15,9,40
166,19.067,0.4671,0.7248,126.12,347.92,49,17,10,39
167,19.133,0.4551,0.7441,122.88,357.16,50,17,10,40
168,19.2,0.4517,0.7519,121.96,360.93,50,17,10,40
169,19.267,0.4369,0.7696,117.96,369.4,50,18,10,40
170,19.333,0.425,0.7887,114.75,378.58,50,17,10,40
171,19.4,0.4214,0.7965,113.78,382.3,51,17,10,41
172,19.467,0.2246,0.7598,60.64,364.68,49,17,10,39
173,19.533,0.2603,0.7618,70.27,365.65,52,17,11,41
174,19.6,0.2673,0.7619,72.16,365.72,50,16,9,41
175,19.667,0.288,0.7613,77.77,365.41,54,16,11,43
176,19.733,0.3019,0.7607,81.52,365.12,55,18,11,44
177,19.8,0.2963,0.7599,80,364.76,58,20,14,44
178,19.867,0.3299,0.7617,89.07,365.6,49,14,6,43
179,19.933,0.3386,0.7616,91.43,365.57,47,10,5,42
180,20,0.3409,0.7605,92.05,365.05,45,10,3,42
181,20.067,0.3411,0.7602,92.11,364.89,50,12,7,43
182,20.133,0.3685,0.7616,99.5,365.56,49,11,7,42
183,20.2,0.3679,0.7604,99.32,364.98,48,11,6,42
184,20.267,0.376,0.7621,101.53,365.79,50,11,8,42
185,20.333,0.4005,0.7619,108.13,365.72,48,11,6,42
186,20.4,0.4064,0.7608,109.73,365.19,49,11,7,42
187,20.467,0.4317,0.7603,116.55,364.92,49,11,7,42
188,20.533,0.4443,0.7602,119.96,364.88,48,10,6,42
