t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,6,0,0,3,140,0,40,0,0,0,0
1,6,0,50,3,57.26,-246.83,39,0,0,2,0
2,6,0,100,3,9,0,38,0,1,2,0
3,6,0,100,3,188.39,247.99,38,1,1,2,0
4,6,0,200,3,271,0,36,2,2,2,0
5,6,0,200,3,271,0,36,2,2,2,0
6,6,0,200,3,271,0,36,4,1,2,0
7,6,0,200,3,271,0,36,6,2,1,0
8,6,0,200,3,271,0,36,4,2,0,0
