frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
75,95,0.5681,0.8835,153.39,424.09,45,13,31,13,27,18
76,95.067,0.5681,0.8835,153.39,424.09,43,12,30,12,24,19
77,95.133,0.5681,0.8835,153.39,424.09,41,7,31,7,22,19
78,95.2,0.5489,0.8841,148.19,424.36,42,12,29,12,24,18
79,95.267,0.5315,0.8836,143.5,424.14,43,11,31,11,25,18
80,95.333,0.5144,0.8841,138.88,424.36,43,11,32,11,22,21
81,95.4,0.4949,0.8837,133.62,424.16,43,13,30,13,22,21
82,95.467,0.4798,0.8833,129.55,423.97,37,7,29,7,15,22
83,95.533,0.46,0.8836,124.2,424.14,55,12,43,12,34,21
84,95.6,0.4426,0.8836,119.5,424.14,42,13,29,13,22,20
85,95.667,0.4426,0.8836,119.5,424.14,39,10,29,10,19,20
86,95.733,0.4426,0.8836,119.5,424.14,41,11,28,11,20,21
87,95.8,0.4426,0.8836,119.5,424.14,42,13,27,13,22,20
88,95.867,0.4426,0.8836,119.5,424.14,33,10,23,10,13,20
89,95.933,0.4426,0.8836,119.5,424.14,42,14,27,14,22,20
90,96,0.4426,0.8836,119.5,424.14,36,8,28,8,16,20
91,96.067,0.4426,0.8836,119.5,424.14,43,7,35,7,24,19
92,96.133,0.4426,0.8836,119.5,424.14,46,13,33,13,26,20
93,96.2,0.4426,0.8836,119.5,424.14,43,9,34,9,25,18
94,96.267,0.4375,0.8841,118.12,424.36,39,12,26,12,21,18
95,96.333,0.4204,0.8835,113.5,424.09,44,15,28,15,25,19
96,96.4,0.4026,0.8844,108.69,424.53,36,8,28,8,17,19
97,96.467,0.4024,0.8846,108.65,424.6,44,13,31,13,24,20
98,96.533,0.4021,0.8845,108.57,424.57,32,4,26,4,13,19
99,96.6,0.4024,0.8846,108.65,424.61,35,6,28,6,17,18
100,96.667,0.4025,0.8843,108.67,424.45,36,10,26,10,18,18
101,96.733,0.406,0.8835,109.61,424.09,37,9,28,9,19,18
102,96.8,0.406,0.8835,109.61,424.09,38,7,31,7,19,19
103,96.867,0.406,0.8835,109.61,424.09,38,7,31,7,21,17
104,96.933,0.406,0.8835,109.61,424.09,29,5,24,5,10,19
105,97,0.406,0.8835,109.61,424.09,39,9,29,9,21,18
106,97.067,0.415,0.8842,112.05,424.42,48,9,37,9,30,18
107,97.133,0.428,0.8836,115.55,424.13,37,8,28,8,19,18
108,97.2,0.428,0.8836,115.55,424.13,41,13,28,13,23,18
109,97.267,0.428,0.8836,115.55,424.13,34,8,26,8,17,17
110,97.333,0.428,0.8836,115.55,424.13,36,7,28,7,19,17
111,97.4,0.428,0.8836,115.55,424.13,37,8,27,8,20,17
112,97.467,0.428,0.8836,115.55,424.13,34,5,29,5,16,18
113,97.533,0.428,0.8836,115.55,424.13,30,7,22,7,13,17
114,97.6,0.4372,0.8842,118.05,424.42,33,9,24,9,16,17
115,97.667,0.4571,0.8838,123.43,424.23,33,6,26,6,16,17
116,97.733,0.4727,0.8837,127.62,424.16,40,9,30,9,23,17
117,97.8,0.4924,0.8845,132.94,424.56,38,7,29,7,21,17
118,97.867,0.5093,0.8836,137.5,424.14,38,7,29,7,21,17
119,97.933,0.5264,0.8827,142.14,423.7,40,12,26,12,22,18
120,98,0.5459,0.8837,147.38,424.16,31,9,22,9,14,17
121,98.067,0.5615,0.8839,151.62,424.25,29,10,19,10,12,17
122,98.133,0.5813,0.8842,156.95,424.42,33,11,22,11,16,17
123,98.2,0.6036,0.8843,162.98,424.47,35,13,22,13,18,17
124,98.267,0.6206,0.8837,167.56,424.16,41,12,29,12,24,17
125,98.333,0.6377,0.8846,172.19,424.63,35,13,22,13,18,17
126,98.4,0.6571,0.8836,177.43,424.13,35,11,24,11,18,17
127,98.467,0.6651,0.8836,179.57,424.13,31,9,22,9,14,17
128,98.533,0.6651,0.8836,179.57,424.13,32,13,19,13,15,17
129,98.6,0.6274,0.6455,169.39,309.83,35,11,23,11,20,15
130,98.667,0.3964,0.6231,107.03,299.08,37,12,24,12,22,15
131,98.733,0.6739,0.8843,181.95,424.48,45,18,26,18,29,16
132,98.8,0.4234,0.6515,114.33,312.73,50,22,26,22,35,15
133,98.867,0.4355,0.6712,117.59,322.17,37,12,24,12,22,15
134,98.933,0.4487,0.6867,121.16,329.59,35,9,25,9,20,15
135,99,0.461,0.7004,124.48,336.19,32,8,24,8,18,14
136,99.067,0.4739,0.7155,127.96,343.44,30,11,19,11,16,14
137,99.133,0.4874,0.7306,131.6,350.68,41,15,26,15,26,15
138,99.2,0.5009,0.7561,135.23,362.95,37,14,23,14,23,14
139,99.267,0.5135,0.7778,138.64,373.36,35,15,20,15,21,14
140,99.333,0.7854,0.8844,212.07,424.49,41,13,27,13,27,14
141,99.4,0.5356,0.8261,144.6,396.55,35,10,25,10,21,14
142,99.467,0.8183,0.8845,220.94,424.56,33,8,24,8,19,14
143,99.533,0.5631,0.8736,152.04,419.33,32,4,27,4,17,15
144,99.6,0.843,0.8837,227.62,424.16,31,9,22,9,19,12
145,99.667,0.843,0.8837,227.62,424.16,35,11,23,11,24,11
146,99.733,0.843,0.8837,227.62,424.16,40,11,29,11,29,11
147,99.8,0.843,0.8837,227.62,424.16,38,10,28,10,26,12
148,99.867,0.843,0.8837,227.62,424.16,30,9,21,9,19,11
149,99.933,0.8352,0.8836,225.5,424.14,32,12,20,12,21,11
150,100,0.8182,0.8843,220.92,424.48,41,15,26,15,31,10
151,100.067,0.7986,0.8837,215.62,424.16,37,11,26,11,26,11
152,100.133,0.7986,0.8837,215.62,424.16,34,10,24,10,23,11
153,100.2,0.7986,0.8837,215.62,424.16,33,13,20,13,22,11
154,100.267,0.7986,0.8837,215.62,424.16,27,7,20,7,16,11
155,100.333,0.7986,0.8837,215.62,424.16,33,12,20,12,22,11
156,100.4,0.796,0.8844,214.93,424.49,37,12,24,12,26,11
157,100.467,0.7761,0.8838,209.56,424.2,36,13,23,13,24,12
158,100.533,0.7606,0.8838,205.35,424.24,39,14,23,14,27,12
159,100.6,0.7409,0.8842,200.05,424.42,37,10,26,10,26,11
160,100.667,0.7243,0.8835,195.56,424.07,25,7,18,7,14,11
161,100.733,0.7067,0.8848,190.8,424.7,34,10,24,10,22,12
162,100.8,0.6872,0.8838,185.56,424.2,28,7,20,7,16,12
163,100.867,0.6701,0.8842,180.93,424.41,31,10,21,10,20,11
164,100.933,0.6519,0.8843,176.02,424.47,36,10,26,10,24,12
165,101,0.6348,0.8835,171.39,424.09,34,11,23,11,23,11
166,101.067,0.6154,0.8847,166.16,424.64,41,14,26,14,29,12
167,101.133,0.5984,0.8837,161.56,424.16,40,11,28,11,29,11
168,101.2,0.5813,0.8842,156.95,424.42,30,6,24,6,19,11
169,101.267,0.5617,0.8838,151.65,424.24,34,11,22,11,23,11
170,101.333,0.5459,0.8835,147.39,424.09,26,7,18,7,15,11
171,101.4,0.5262,0.884,142.07,424.33,25,7,18,7,14,11
172,101.467,0.5262,0.884,142.07,424.33,32,10,20,10,21,11
173,101.533,0.5315,0.8836,143.5,424.14,30,7,22,7,18,12
174,101.6,0.5488,0.8829,148.19,423.78,30,6,23,6,19,11
175,101.667,0.5683,0.8838,153.44,424.2,36,7,28,7,25,11
176,101.733,0.5837,0.884,157.6,424.31,29,9,20,9,18,11
177,101.8,0.6036,0.8843,162.98,424.47,38,12,26,12,26,12
178,101.867,0.6201,0.8835,167.44,424.07,31,9,22,9,20,11
179,101.933,0.6259,0.8843,168.98,424.47,35,15,18,15,24,11
180,102,0.6061,0.884,163.65,424.33,33,13,18,13,22,11
181,102.067,0.5906,0.8836,159.45,424.13,31,11,19,11,19,12
182,102.133,0.5713,0.8843,154.25,424.45,32,10,21,10,21,11
183,102.2,0.5535,0.8835,149.44,424.07,38,11,26,11,27,11
184,102.267,0.5369,0.8842,144.95,424.42,34,12,21,12,23,11
185,102.333,0.5169,0.8838,139.57,424.23,35,12,22,12,24,11
186,102.4,0.5016,0.8838,135.43,424.23,32,9,23,9,21,11
187,102.467,0.4817,0.8845,130.06,424.56,34,13,21,13,23,11
188,102.533,0.4648,0.8836,125.5,424.14,35,15,20,15,24,11
189,102.6,0.4477,0.8841,120.88,424.36,31,10,21,10,20,11
190,102.667,0.4282,0.8835,115.61,424.09,39,12,27,12,28,11
191,102.733,0.4282,0.8835,115.61,424.09,42,12,29,12,31,11
192,102.8,0.4282,0.8835,115.61,424.09,33,12,21,12,22,11
193,102.867,0.4282,0.8835,115.61,424.09,33,13,20,13,21,12
194,102.933,0.4149,0.8843,112.02,424.47,33,9,23,9,22,11
195,103,0.4149,0.8843,112.02,424.47,32,12,19,12,19,13
196,103.067,0.4483,0.6759,121.05,324.45,29,13,16,13,17,12
197,103.133,0.3837,0.8835,103.61,424.09,34,15,19,15,22,12
198,103.2,0.368,0.884,99.35,424.33,43,21,19,21,32,11
199,103.267,0.3482,0.8843,94.02,424.47,28,9,18,9,17,11
200,103.333,0.3312,0.8838,89.43,424.23,22,6,16,6,11,11
201,103.4,0.3114,0.8842,84.07,424.43,18,8,10,8,8,10
202,103.467,0.2944,0.8833,79.49,424,24,8,14,8,14,10
203,103.533,0.2777,0.8843,74.98,424.47,26,11,13,11,16,10
204,103.6,0.258,0.884,69.65,424.33,31,10,20,10,22,9
205,103.667,0.2422,0.8835,65.39,424.09,31,9,22,9,21,10
206,103.733,0.2227,0.8839,60.13,424.27,34,13,20,13,23,11
207,103.8,0.2227,0.8841,60.12,424.36,26,10,15,10,16,10
208,103.867,0.2227,0.8841,60.12,424.36,15,5,10,5,5,10
209,103.933,0.2227,0.8841,60.12,424.36,21,9,12,9,11,10
210,104,0.2227,0.8841,60.12,424.36,23,8,15,8,12,11
211,104.067,0.2227,0.8841,60.12,424.36,21,9,12,9,11,10
212,104.133,0.2227,0.8841,60.12,424.36,30,12,18,12,20,10
213,104.2,0.2227,0.8841,60.12,424.36,26,6,18,6,16,10
214,104.267,0.2227,0.8841,60.12,424.36,27,12,13,12,16,11
215,104.333,0.2227,0.8841,60.12,424.36,26,11,13,11,16,10
216,104.4,0.2227,0.8841,60.12,424.36,18,7,11,7,8,10
217,104.467,0.2227,0.8839,60.13,424.27,20,8,12,8,10,10
218,104.533,0.2227,0.8839,60.13,424.27,24,8,16,8,14,10
219,104.6,0.2227,0.8841,60.12,424.36,28,8,20,8,18,10
220,104.667,0.2227,0.8841,60.12,424.36,40,12,28,12,30,10
221,104.733,0.2056,0.8836,55.5,424.14,28,11,17,11,19,9
222,104.8,0.1833,0.8836,49.5,424.14,29,14,14,14,20,9
223,104.867,0.1664,0.884,44.93,424.33,25,11,13,11,16,9
224,104.933,0.1465,0.8836,39.55,424.14,20,8,11,8,11,9
225,105,0.131,0.8837,35.38,424.16,38,23,13,23,29,9
226,105.067,0.1112,0.8843,30.02,424.47,26,13,13,13,17,9
227,105.133,0.1087,0.8838,29.35,424.24,21,9,12,9,13,8
228,105.2,0.1087,0.8838,29.35,424.24,24,11,13,11,15,9
229,105.267,0.1087,0.8838,29.35,424.24,24,10,12,10,16,8
230,105.333,0.1087,0.8838,29.35,424.24,34,18,16,18,26,8
231,105.4,0.1087,0.8838,29.35,424.24,24,13,11,13,17,7
232,105.467,0.1087,0.8838,29.35,424.24,26,8,18,8,17,9
233,105.533,0.1087,0.8838,29.35,424.24,30,14,15,14,22,8
234,105.6,0.1087,0.8838,29.35,424.24,22,6,16,6,14,8
235,105.667,0.1167,0.8836,31.5,424.14,31,7,24,7,19,12
236,105.733,0.131,0.8837,35.38,424.16,32,9,23,9,20,12
237,105.8,0.131,0.8837,35.38,424.16,35,9,25,9,23,12
238,105.867,0.131,0.8837,35.38,424.16,48,16,31,16,36,12
239,105.933,0.131,0.8837,35.38,424.16,33,14,18,14,22,11
240,106,0.1466,0.8838,39.57,424.23,24,7,17,7,13,11
241,106.067,0.1662,0.8844,44.87,424.51,31,14,17,14,20,11
242,106.133,0.1833,0.8836,49.5,424.14,28,9,19,9,17,11
243,106.2,0.2002,0.8842,54.05,424.42,27,9,18,9,16,11
244,106.267,0.191,0.8838,51.57,424.23,26,8,18,8,15,11
245,106.333,0.1757,0.8837,47.44,424.16,20,8,12,8,12,8
246,106.4,0.1561,0.8842,42.15,424.42,25,12,13,12,17,8
247,106.467,0.1339,0.8842,36.15,424.42,29,7,22,7,20,9
248,106.533,0.144,0.8833,38.89,423.98,30,5,24,5,22,8
249,106.6,0.1611,0.8836,43.5,424.14,20,6,14,6,13,7
250,106.667,0.1781,0.8838,48.08,424.23,26,7,19,7,19,7
251,106.733,0.1977,0.8837,53.38,424.16,21,9,11,9,14,7
252,106.8,0.2135,0.8838,57.65,424.24,25,10,11,10,18,7
253,106.867,0.2333,0.8843,62.98,424.47,18,7,10,7,11,7
254,106.933,0.2498,0.8835,67.44,424.07,28,16,12,16,21,7
255,107,0.2498,0.8835,67.44,424.07,23,11,12,11,16,7
256,107.067,0.2498,0.8835,67.44,424.07,21,8,13,8,14,7
257,107.133,0.2498,0.8835,67.44,424.07,21,8,13,8,14,7
258,107.2,0.2498,0.8835,67.44,424.07,23,8,14,8,16,7
259,107.267,0.2498,0.8835,67.44,424.07,18,8,10,8,12,6
260,107.333,0.2498,0.8835,67.44,424.07,24,13,11,13,18,6
261,107.4,0.2331,0.8842,62.95,424.42,26,16,10,16,20,6
262,107.467,0.2144,0.8841,57.88,424.37,30,20,10,20,24,6
263,107.533,0.1977,0.8837,53.38,424.16,21,7,14,7,16,5
264,107.6,0.1781,0.8834,48.08,424.03,17,3,13,3,12,5
265,107.667,0.1611,0.8836,43.5,424.14,19,6,13,6,14,5
266,107.733,0.144,0.8839,38.89,424.28,22,7,14,7,17,5
267,107.8,0.1335,0.8841,36.03,424.38,16,5,11,5,11,5
268,107.867,0.1335,0.8841,36.03,424.38,21,10,10,10,16,5
269,107.933,0.1335,0.8841,36.03,424.38,17,6,11,6,12,5
270,108,0.1533,0.8837,41.38,424.16,17,7,10,7,12,5
271,108.067,0.1755,0.8837,47.38,424.16,17,6,10,6,12,5
272,108.133,0.191,0.8838,51.57,424.23,19,7,10,7,14,5
273,108.2,0.2109,0.8842,56.95,424.42,19,6,11,6,14,5
274,108.267,0.2275,0.8835,61.44,424.07,20,5,14,5,15,5
275,108.333,0.2451,0.8847,66.19,424.64,17,4,13,4,12,5
276,108.4,0.258,0.884,69.65,424.33,21,8,12,8,16,5
277,108.467,0.258,0.884,69.65,424.33,21,11,9,11,16,5
278,108.533,0.258,0.884,69.65,424.33,20,13,7,13,15,5
279,108.6,0.258,0.884,69.65,424.33,19,9,10,9,14,5
280,108.667,0.25,0.8836,67.5,424.14,19,8,9,8,14,5
281,108.733,0.2331,0.8842,62.95,424.42,21,9,10,9,16,5
282,108.8,0.2232,0.884,60.26,424.32,20,8,11,8,15,5
283,108.867,0.2232,0.884,60.26,424.32,19,7,10,7,14,5
284,108.933,0.2357,0.8838,63.65,424.24,20,8,12,8,15,5
285,109,0.2555,0.8843,68.98,424.47,22,9,13,9,17,5
286,109.067,0.2722,0.8836,73.5,424.14,17,10,7,10,12,5
287,109.133,0.2896,0.8847,78.19,424.64,17,9,8,9,12,5
288,109.2,0.3093,0.8835,83.5,424.09,17,7,10,7,12,5
289,109.267,0.326,0.8843,88.02,424.47,22,11,11,11,17,5
290,109.333,0.3444,0.8843,92.98,424.47,20,8,12,8,15,5
291,109.4,0.3615,0.8837,97.62,424.16,20,8,12,8,15,5
292,109.467,0.3809,0.8847,102.84,424.64,21,8,12,8,16,5
293,109.533,0.3984,0.8835,107.56,424.07,21,9,11,9,16,5
294,109.6,0.415,0.8842,112.05,424.42,17,10,6,10,12,5
295,109.667,0.4346,0.8838,117.35,424.24,16,8,7,8,11,5
296,109.733,0.457,0.8837,123.38,424.16,17,12,5,12,12,5
297,109.8,0.4727,0.8837,127.62,424.16,17,10,7,10,12,5
298,109.867,0.4924,0.8845,132.94,424.56,15,8,6,8,10,5
