frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
841,716.067,0.3706,0.8842,100.05,424.42,59,22,37,21,24,35
842,716.133,0.3535,0.8837,95.44,424.16,55,19,35,19,22,33
843,716.2,0.3763,0.5888,101.59,282.64,63,18,45,18,31,32
844,716.267,0.3571,0.5987,96.42,287.37,58,14,43,13,26,32
845,716.333,0.2999,0.8843,80.98,424.47,64,16,46,16,31,33
846,716.4,0.2866,0.8835,77.39,424.09,59,15,42,15,26,33
847,716.467,0.5934,0.5884,160.21,282.42,63,19,44,19,31,32
848,716.533,0.2866,0.8835,77.39,424.09,54,14,39,14,23,31
849,716.6,0.647,0.6473,174.69,310.7,55,15,40,15,24,31
850,716.667,0.3015,0.6399,81.4,307.15,61,12,48,11,32,29
851,716.733,0.6047,0.6788,163.26,325.83,64,14,49,14,35,29
852,716.8,0.5825,0.6935,157.27,332.87,61,18,42,18,32,29
853,716.867,0.5669,0.7075,153.07,339.61,74,28,46,28,43,31
854,716.933,0.4194,0.696,113.24,334.09,69,26,41,26,33,36
855,717,0.5224,0.7517,141.04,360.8,60,18,40,18,28,32
856,717.067,0.3781,0.7275,102.09,349.2,69,31,38,30,33,36
857,717.133,0.2998,0.8751,80.95,420.05,62,26,35,25,28,34
858,717.2,0.2998,0.8751,80.95,420.05,58,18,39,17,24,34
859,717.267,0.3299,0.7979,89.06,382.97,69,32,37,32,33,36
860,717.333,0.3162,0.8208,85.37,393.96,72,34,37,33,37,35
861,717.4,0.2877,0.8491,77.67,407.57,60,22,36,21,31,29
862,717.467,0.2572,0.8837,69.44,424.16,67,26,41,25,36,31
863,717.533,0.2517,0.879,67.95,421.93,67,21,46,20,37,30
864,717.6,0.2929,0.8772,79.07,421.06,68,16,51,15,37,31
865,717.667,0.2929,0.8772,79.07,421.06,70,20,48,19,40,30
866,717.733,,,,,48,5,43,5,23,25
867,717.8,,,,,50,7,42,7,26,24
868,717.867,,,,,55,14,39,14,28,27
869,717.933,,,,,58,10,46,10,31,27
870,718,0.616,0.7507,166.33,360.33,54,14,40,14,27,27
871,718.067,0.558,0.6806,150.67,326.67,51,10,41,10,22,29
872,718.133,,,,,46,7,38,7,17,29
873,718.2,0.2012,0.7472,54.33,358.67,46,9,37,9,17,29
874,718.267,,,,,39,5,34,5,10,29
875,718.333,,,,,48,9,39,9,18,30
