frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
197,883.133,0.1916,0.8841,51.72,424.34,51,14,34,14,28,23
198,883.2,0.1916,0.8841,51.72,424.34,44,15,28,15,22,22
199,883.267,0.1916,0.8841,51.72,424.34,43,16,27,16,21,22
200,883.333,0.1916,0.8841,51.72,424.34,30,7,23,7,12,18
201,883.4,0.1916,0.8841,51.72,424.34,34,9,24,9,15,19
202,883.467,0.2002,0.8841,54.05,424.36,34,9,25,9,15,19
203,883.533,0.2199,0.8837,59.38,424.16,30,9,21,9,11,19
204,883.6,0.2422,0.8837,65.38,424.16,50,17,33,17,30,20
205,883.667,0.2585,0.8843,69.8,424.45,55,17,38,17,34,21
206,883.733,0.2777,0.8843,74.98,424.47,43,13,30,13,23,20
207,883.8,0.2947,0.8837,79.56,424.16,42,12,29,12,23,19
208,883.867,0.312,0.8841,84.23,424.37,36,4,31,4,17,19
209,883.933,0.3312,0.8837,89.44,424.16,41,13,28,13,22,19
210,884,0.3482,0.8843,94.02,424.47,47,10,36,10,28,19
211,884.067,0.368,0.884,99.35,424.33,43,10,33,10,24,19
212,884.133,0.3837,0.8835,103.61,424.09,47,15,32,15,27,20
213,884.2,0.403,0.8848,108.8,424.7,41,10,30,10,22,19
214,884.267,0.4201,0.8837,113.44,424.16,37,9,28,9,18,19
215,884.333,0.4372,0.8842,118.05,424.42,37,11,26,11,18,19
216,884.4,0.457,0.8837,123.38,424.16,33,5,27,5,12,21
217,884.467,0.4725,0.8838,127.57,424.23,27,8,19,8,8,19
218,884.533,0.4915,0.8846,132.71,424.63,37,10,26,10,18,19
219,884.6,0.5093,0.8836,137.5,424.14,42,10,30,10,23,19
220,884.667,0.5143,0.8844,138.87,424.51,51,13,38,13,31,20
221,884.733,0.5014,0.8837,135.38,424.16,49,13,36,13,30,19
222,884.8,0.4708,0.6484,127.13,311.25,45,9,36,9,26,19
223,884.867,0.4648,0.8836,125.5,424.14,44,12,32,12,25,19
224,884.933,0.4478,0.8838,120.92,424.23,42,9,32,9,22,20
225,885,0.4282,0.8835,115.61,424.09,54,21,33,21,34,20
226,885.067,0.4122,0.8839,111.3,424.26,48,10,36,10,29,19
227,885.133,0.3927,0.8843,106.02,424.47,43,9,33,9,23,20
228,885.2,0.3902,0.884,105.35,424.33,37,10,27,10,19,18
229,885.267,0.3902,0.884,105.35,424.33,39,9,29,9,20,19
230,885.333,0.3902,0.884,105.35,424.33,33,6,25,6,14,19
