frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
86,23.44,0.6573,0.7619,177.48,365.7,76,13,54,22
87,23.48,0.6567,0.7619,177.32,365.73,86,13,68,18
88,23.52,0.6896,0.7618,186.19,365.69,79,14,61,18
89,23.56,,,,,63,14,51,12
90,23.6,,,,,33,15,28,5
91,23.64,,,,,20,11,20,0
92,23.68,,,,,0,0,0,0
93,23.72,,,,,0,0,0,0
94,23.76,,,,,0,0,0,0
95,23.8,,,,,0,0,0,0
96,23.84,,,,,0,0,0,0
97,23.88,,,,,0,0,0,0
98,23.92,,,,,0,0,0,0
99,23.96,,,,,0,0,0,0
100,24,,,,,0,0,0,0
101,24.04,,,,,0,0,0,0
102,24.08,,,,,0,0,0,0
103,24.12,0.5634,0.7602,152.11,364.89,33,10,5,28
104,24.16,0.5634,0.7602,152.11,364.89,33,10,5,28
105,24.2,0.5695,0.7622,153.78,365.83,31,9,4,27
106,24.24,0.5838,0.7614,157.62,365.49,31,9,4,27
107,24.28,0.5831,0.7614,157.43,365.49,32,9,4,28
108,24.32,0.5833,0.7615,157.5,365.52,31,10,3,28
109,24.36,0.5835,0.7624,157.56,365.94,32,10,4,28
110,24.4,0.5909,0.7624,159.56,365.94,31,10,3,28
111,24.44,0.6065,0.7602,163.75,364.91,34,10,6,28
112,24.48,0.6062,0.7601,163.68,364.84,35,11,7,28
113,24.52,0.6062,0.7601,163.68,364.84,31,11,4,27
114,24.56,0.6062,0.7601,163.68,364.84,31,11,4,27
115,24.6,0.6062,0.7601,163.68,364.84,32,12,5,27
116,24.64,0.6062,0.7601,163.68,364.84,36,15,7,29
117,24.68,0.6062,0.7601,163.68,364.84,35,14,6,29
118,24.72,0.6062,0.7601,163.68,364.84,33,14,4,29
119,24.76,0.6062,0.7601,163.68,364.84,33,14,4,29
120,24.8,0.6062,0.7601,163.68,364.84,33,14,4,29
121,24.84,0.6062,0.7601,163.68,364.84,32,12,4,28
122,24.88,0.6062,0.7601,163.68,364.84,34,14,6,28
123,24.92,0.6062,0.7601,163.68,364.84,32,12,4,28
124,24.96,0.6062,0.7601,163.68,364.84,33,13,5,28
125,25,0.6062,0.7601,163.68,364.84,35,14,7,28
126,25.04,0.6062,0.7601,163.68,364.84,32,11,5,27
127,25.08,0.6062,0.7601,163.68,364.84,29,10,3,26
128,25.12,0.6062,0.7601,163.68,364.84,28,10,2,26
129,25.16,0.6141,0.7601,165.8,364.83,29,11,3,26
130,25.2,0.6203,0.7621,167.47,365.79,34,14,7,27
131,25.24,0.6478,0.7602,174.89,364.89,29,10,2,27
132,25.28,0.6439,0.7599,173.86,364.76,32,11,5,27
133,25.32,0.6511,0.7598,175.79,364.71,34,11,7,27
134,25.36,0.6579,0.76,177.63,364.79,35,11,8,27
135,25.4,0.6882,0.7606,185.81,365.08,30,10,3,27
136,25.44,0.6882,0.7606,185.81,365.08,29,11,3,26
137,25.48,0.6882,0.7606,185.81,365.08,31,11,4,27
138,25.52,0.6882,0.7606,185.81,365.08,30,11,4,26
139,25.56,0.6882,0.7606,185.81,365.08,32,11,5,27
140,25.6,0.6882,0.7606,185.81,365.08,33,12,6,27
141,25.64,0.6882,0.7606,185.81,365.08,33,12,6,27
142,25.68,0.6882,0.7606,185.81,365.08,33,11,6,27
143,25.72,0.6808,0.7608,183.82,365.18,34,11,7,27
144,25.76,0.6735,0.761,181.85,365.26,33,11,6,27
145,25.8,0.6443,0.7599,173.96,364.75,32,11,5,27
146,25.84,0.6363,0.7601,171.8,364.83,33,11,6,27
147,25.88,0.6203,0.7621,167.47,365.79,34,12,7,27
148,25.92,0.6231,0.7616,168.24,365.57,34,11,7,27
149,25.96,0.6079,0.7614,164.14,365.46,33,10,6,27
150,26,0.6007,0.7615,162.18,365.53,32,10,5,27
151,26.04,0.6055,0.7621,163.47,365.79,31,11,4,27
152,26.08,0.5882,0.7617,158.82,365.63,31,11,4,27
153,26.12,0.5906,0.7622,159.45,365.85,34,10,7,27
154,26.16,0.5683,0.7605,153.43,365.02,35,10,9,26
155,26.2,0.5612,0.7613,151.51,365.44,35,10,9,26
