frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
757,230.467,0.7959,0.8836,214.9,424.11,29,12,17,12,15,14
758,230.533,0.7764,0.8837,209.62,424.16,27,11,16,11,13,14
759,230.6,0.7607,0.884,205.4,424.31,24,8,16,8,11,13
760,230.667,0.7415,0.8842,200.21,424.42,27,8,19,8,13,14
761,230.733,0.7238,0.8837,195.44,424.16,31,11,20,11,17,14
762,230.8,0.7067,0.8848,190.8,424.7,29,12,17,12,15,14
763,230.867,0.6874,0.8835,185.61,424.07,29,13,16,13,15,14
764,230.933,0.6703,0.8843,180.98,424.47,30,11,18,11,16,14
765,231,0.6519,0.8843,176.02,424.47,26,9,17,9,12,14
766,231.067,0.6481,0.8843,174.98,424.47,27,11,16,11,13,14
767,231.133,0.6481,0.8843,174.98,424.47,30,10,19,10,16,14
768,231.2,0.6481,0.8843,174.98,424.47,27,8,19,8,13,14
769,231.267,0.6481,0.8843,174.98,424.47,32,13,19,13,18,14
770,231.333,0.638,0.8844,172.27,424.5,30,11,19,11,16,14
771,231.4,0.6206,0.8837,167.56,424.16,27,11,15,11,13,14
772,231.467,0.6036,0.8843,162.98,424.47,31,13,16,13,17,14
773,231.533,0.5839,0.8838,157.65,424.24,30,11,19,11,16,14
774,231.6,0.5681,0.8835,153.39,424.09,24,9,15,9,12,12
775,231.667,0.5486,0.8839,148.13,424.27,26,8,18,8,14,12
776,231.733,0.5315,0.8836,143.5,424.14,28,5,23,5,16,12
777,231.8,0.5144,0.8833,138.89,423.98,38,12,26,12,26,12
778,231.867,0.4923,0.8843,132.92,424.48,23,6,17,6,12,11
779,231.933,0.4725,0.8838,127.57,424.23,20,5,15,5,9,11
780,232,0.4571,0.8838,123.43,424.23,22,8,14,8,11,11
781,232.067,0.4372,0.8842,118.05,424.42,22,6,16,6,11,11
782,232.133,0.4201,0.8837,113.44,424.16,27,10,17,10,17,10
783,232.2,0.4126,0.884,111.4,424.31,27,10,16,10,16,11
784,232.267,0.4126,0.884,111.4,424.31,28,11,17,11,17,11
785,232.333,0.4126,0.884,111.4,424.31,32,11,21,11,21,11
786,232.4,0.4126,0.884,111.4,424.31,24,7,17,7,13,11
787,232.467,0.4126,0.884,111.4,424.31,23,5,18,5,12,11
788,232.533,0.4126,0.884,111.4,424.31,24,6,18,6,13,11
789,232.6,0.4126,0.884,111.4,424.31,23,5,17,5,12,11
790,232.667,0.4126,0.884,111.4,424.31,25,7,16,7,14,11
791,232.733,0.4126,0.884,111.4,424.31,28,9,18,9,17,11
792,232.8,0.4126,0.884,111.4,424.31,28,11,16,11,17,11
793,232.867,0.4126,0.884,111.4,424.31,30,12,18,12,19,11
794,232.933,0.4126,0.884,111.4,424.31,26,8,17,8,15,11
795,233,0.4126,0.884,111.4,424.31,23,4,19,4,12,11
796,233.067,0.4126,0.884,111.4,424.31,23,5,18,5,12,11
797,233.133,0.4126,0.884,111.4,424.31,25,6,18,6,14,11
798,233.2,0.4126,0.884,111.4,424.31,27,9,18,9,16,11
799,233.267,0.4126,0.884,111.4,424.31,28,9,19,9,17,11
800,233.333,0.4126,0.884,111.4,424.31,27,11,14,11,16,11
801,233.4,0.4126,0.884,111.4,424.31,31,12,17,12,20,11
802,233.467,0.4126,0.884,111.4,424.31,20,6,14,6,9,11
803,233.533,0.4126,0.884,111.4,424.31,23,8,15,8,12,11
804,233.6,0.4126,0.884,111.4,424.31,25,8,17,8,14,11
805,233.667,0.4126,0.884,111.4,424.31,24,9,14,9,13,11
806,233.733,0.4126,0.884,111.4,424.31,22,6,16,6,11,11
807,233.8,0.4126,0.884,111.4,424.31,21,4,15,4,10,11
808,233.867,0.4126,0.884,111.4,424.31,23,10,13,10,12,11
809,233.933,0.4126,0.884,111.4,424.31,26,7,17,7,15,11
810,234,0.4126,0.884,111.4,424.31,21,7,13,7,10,11
811,234.067,0.4126,0.884,111.4,424.31,23,7,16,7,12,11
812,234.133,0.4126,0.884,111.4,424.31,26,7,18,7,16,10
813,234.2,0.4126,0.884,111.4,424.31,25,10,15,10,14,11
814,234.267,0.4126,0.884,111.4,424.31,25,8,17,8,14,11
815,234.333,0.4126,0.884,111.4,424.31,23,8,15,8,12,11
816,234.4,0.4126,0.884,111.4,424.31,22,8,14,8,12,10
817,234.467,0.4126,0.884,111.4,424.31,24,7,17,7,13,11
818,234.533,0.4126,0.884,111.4,424.31,19,6,13,6,8,11
819,234.6,0.4126,0.884,111.4,424.31,25,7,18,7,14,11
820,234.667,0.4117,0.884,111.16,424.33,26,6,19,6,15,11
821,234.733,0.4117,0.8843,111.16,424.47,24,7,17,7,13,11
822,234.8,0.4126,0.884,111.4,424.31,24,7,16,7,13,11
823,234.867,0.4126,0.884,111.4,424.31,24,7,16,7,13,11
824,234.933,0.4126,0.884,111.4,424.31,26,9,16,9,15,11
825,235,0.4124,0.8838,111.35,424.24,26,9,14,9,15,11
826,235.067,0.4124,0.8838,111.35,424.24,20,8,12,8,9,11
827,235.133,0.4124,0.8838,111.35,424.24,23,8,15,8,12,11
828,235.2,0.4124,0.8838,111.35,424.24,28,8,20,8,17,11
829,235.267,0.4124,0.8838,111.35,424.24,26,9,17,9,15,11
830,235.333,0.4124,0.8838,111.35,424.24,29,11,18,11,18,11
831,235.4,0.4124,0.8838,111.35,424.24,28,10,18,10,17,11
832,235.467,0.4124,0.8838,111.35,424.24,28,12,15,12,17,11
833,235.533,0.4124,0.8838,111.35,424.24,28,10,15,10,17,11
834,235.6,0.4124,0.8838,111.35,424.24,23,7,15,7,12,11
835,235.667,0.4124,0.8838,111.35,424.24,24,9,14,9,13,11
836,235.733,0.4124,0.8838,111.35,424.24,29,9,19,9,18,11
837,235.8,0.4124,0.8838,111.35,424.24,27,9,18,9,16,11
838,235.867,0.4124,0.8838,111.35,424.24,29,11,17,11,18,11
839,235.933,0.4124,0.8838,111.35,424.24,28,10,17,10,17,11
840,236,0.4124,0.8838,111.35,424.24,28,12,15,12,17,11
841,236.067,0.4124,0.8838,111.35,424.24,28,13,15,13,17,11
842,236.133,0.4124,0.8838,111.35,424.24,40,10,30,10,22,18
843,236.2,0.4124,0.8838,111.35,424.24,68,9,59,9,27,41
844,236.267,0.4124,0.8838,111.35,424.24,97,10,87,10,41,56
845,236.333,0.4124,0.8838,111.35,424.24,89,10,78,10,31,58
846,236.4,0.4124,0.8838,111.35,424.24,86,12,73,12,26,60
847,236.467,0.4125,0.8836,111.36,424.15,95,9,85,9,37,58
848,236.533,0.4124,0.8838,111.35,424.24,99,14,84,14,39,60
849,236.6,0.4124,0.8838,111.35,424.24,98,15,83,15,37,61
850,236.667,0.4124,0.8838,111.35,424.24,91,9,82,9,31,60
851,236.733,0.4124,0.8838,111.35,424.24,89,11,78,11,31,58
852,236.8,0.4124,0.8838,111.35,424.24,92,9,83,9,33,59
